Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
14-21690001,2018-08-20 10:30:00,8.6,1.1,0.183,13400000,17600,0,0,2018
13-21690001,2018-08-14 13:45:00,9.1,1.073,0.302,2210000,68300,0,0,2018
12-21690001,2018-08-07 12:30:00,8.7,0.682,-0.182,7160000,194000,0,0,2018
1-21880001,2018-05-22 10:00:00,8.4,1.399,0.613,1200000,21500,0,0,2018
15-21690001,2018-08-27 09:00:00,8.2,0.985,0.139,8050000,484000,0,0,2018
7-21880001,2018-07-02 07:30:00,8.5,1.139,0.52,3650000,324000,0,0,2018
5-21870001,2018-06-19 09:15:00,9,1.056,0.583,757000,16800,0,0,2018
6-21170002,2018-06-27 13:15:00,NA,1.159,0.406,2510000,183000,0,0,2018
11-21690001,2018-07-31 12:30:00,8.7,0.181,0.256,1640000,57900,0,0,2018
4-21520001,2018-06-12 13:49:00,8.38,1.118,0.633,5100000,206000,0,0,2018
5-21880001,2018-06-19 07:15:00,8.3,1.003,0.605,3880000,189000,0,0,2018
4-21870001,2018-06-12 09:15:00,8.6,1.224,0.509,1160000,15200,0,0,2018
10-21690001,2018-07-24 12:49:00,8.35,0.069,0.198,2970000,40300,0,0,2018
2-21810001,2018-05-29 13:00:00,8.3,1.316,0.508,2490000,128000,0,0,2018
8-21690001,2018-07-10 12:40:00,8,1.226,0.455,1680000,25400,0,0,2018
15-21300005,2018-08-27 13:30:00,8.6,1.069,0.12,9070000,32200,0,0,2018
6-21870001,2018-06-26 09:30:00,8.5,1.288,0.283,1970000,42500,0,0,2018
5-21170002,2018-06-20 13:35:00,8,1.003,0.433,3330000,175000,0,0,2018
12-21880001,2018-08-07 09:30:00,8.4,0.74,-0.244,3670000,75900,0,0,2018
12-21300005,2018-08-08 08:00:00,9.03,0.765,0.229,6350000,128000,0,0,2018
15-21880001,2018-08-27 12:30:00,8.22,1.039,0.171,19200000,258000,0,0,2018
